Usage,Bill
26,2.02
312,27.69
314,27.7
263,24.09
256,22.18
420,32.96
571,44.46
1001,93.89
1371,126.96
1474,136.13
1720,166.7
1092,107.47
727,73.07
1045,112.29
333,32.58
404,38.47
557,50.43
164,15.17
992,92.45
1480,136
1279,118.13
933,85.59
597,62.92
895,95.27
693,74.62
442,49.47
593,64.85
360,41.13
417,43.59
525,54.19
1079,106.68
1560,235.97
1869,199.34
1457,156.37
1351,161.09
1043,125.4
632,77.74
526,65.47
422,53.5
397,50.39
555,60.99
614,67
653,72.11
1123,120.8
1886,199.83
1865,197.65
2222,273.96
1416,176.21
627,80.52
113,15.5
