PERCENT_PROFICIENT,NUMBER_TOOK_EXAM,ATTENDANCE_RATE,PERCENT_FREE_LUNCH,PERCENT_REDUCED_LUNCH,NUMBER_OF_TEACHERS,NUMBER_OF_COUNSELORS,NUMBER_OF_SOCIAL_WORKERS,PERCENT_OF_STUDENTS_SUSPENDED,NUMBER_TOTAL_STUDENTS_IN_SCHOOL,FEDERAL_FUNDING_PER_PUPIL,LOCAL_FUNDING_PER_PUPIL,PERCENT_MALE,PERCENT_FEMALE,PERCENT_ENGLISH_LANGUAGE_LEANERS,PERCENT_AMERICAN_INDIAN,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_WHITE,PERCENT_MULTIRACIAL,PERCENT_WITH_DISABILITIES,PERCENT_ECONOMICALLY_DISADVANTAGED,PERCENT_MIGRANT,PERCENT_HOMELESS,PERCENT_IN_FOSTER_CARE,PERCENT_PARENT_ARMED_FORCES,MATHEMATICS_AVERAGE_CLASS_SIZE,ASSESSMENT_NAME,SCHOOL_NAME,DISTRICT_NAME,COUNTY_NAME,DISTRICT_TYPE,REGION
96,75,90,69,0,96,2,3,27,630,4104,33867,50,49,13,0,39,10,25,20,6,20,69,0,6,1,0,15.25,RegentsMath8,WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
28,193,90,69,0,96,2,3,27,630,4104,33867,50,49,13,0,39,10,25,20,6,20,69,0,6,1,0,15.25,Combined6Math,WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
46,190,90,69,0,96,2,3,27,630,4104,33867,50,49,13,0,39,10,25,20,6,20,69,0,6,1,0,15.25,Combined8Math,WILLIAM S HACKETT MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
70,67,90,72,0,99,3,4,19,573,5043,35815,57,43,12,0,45,14,18,15,8,19,73,0,4,1,0,13.75,RegentsMath8,MYERS MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
25,167,90,72,0,99,3,4,19,573,5043,35815,57,43,12,0,45,14,18,15,8,19,73,0,4,1,0,13.75,Combined6Math,MYERS MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
28,165,90,72,0,99,3,4,19,573,5043,35815,57,43,12,0,45,14,18,15,8,19,73,0,4,1,0,13.75,Combined8Math,MYERS MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
21,175,90,80,0,86,2,2,20,488,5254,33878,51,49,18,1,47,13,21,11,7,18,80,0,8,1,0,10,Combined6Math,NORTH ALBANY ACADEMY MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
7,120,90,80,0,86,2,2,20,488,5254,33878,51,49,18,1,47,13,21,11,7,18,80,0,8,1,0,10,Combined8Math,NORTH ALBANY ACADEMY MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
58,12,90,80,0,86,2,2,20,488,5254,33878,51,49,18,1,47,13,21,11,7,18,80,0,8,1,0,10,RegentsMath8,NORTH ALBANY ACADEMY MIDDLE SCHOOL,ALBANY CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
100,11,94,37,3,41,3,0,6,326,1309,33912,50,50,0,0,1,0,3,94,2,19,39,0,0,0,0,15.4,RegentsMath7,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,BERNE-KNOX-WESTERLO CSD,ALBANY,Average Need,"Capital District, New York"
100,12,94,37,3,41,3,0,6,326,1309,33912,50,50,0,0,1,0,3,94,2,19,39,0,0,0,0,15.4,RegentsMath8,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,BERNE-KNOX-WESTERLO CSD,ALBANY,Average Need,"Capital District, New York"
76,51,94,37,3,41,3,0,6,326,1309,33912,50,50,0,0,1,0,3,94,2,19,39,0,0,0,0,15.4,Combined7Math,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,BERNE-KNOX-WESTERLO CSD,ALBANY,Average Need,"Capital District, New York"
45,49,94,37,3,41,3,0,6,326,1309,33912,50,50,0,0,1,0,3,94,2,19,39,0,0,0,0,15.4,Combined8Math,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,BERNE-KNOX-WESTERLO CSD,ALBANY,Average Need,"Capital District, New York"
83,58,93,37,2,38,1,0,1,386,1388,27334,54,46,0,0,0,1,3,94,2,14,39,0,0,1,0,16.75,Combined6Math,BERNE-KNOX-WESTERLO ELEM SCH,BERNE-KNOX-WESTERLO CSD,ALBANY,Average Need,"Capital District, New York"
100,55,95,14,1,89,5,1,1,902,143,24895,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0,21.4,RegentsMath7,BETHLEHEM CENTRAL MIDDLE SCHOOL,BETHLEHEM CSD,ALBANY,Low Need,"Capital District, New York"
100,115,95,14,1,89,5,1,1,902,143,24895,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0,21.4,RegentsMath8,BETHLEHEM CENTRAL MIDDLE SCHOOL,BETHLEHEM CSD,ALBANY,Low Need,"Capital District, New York"
65,278,95,14,1,89,5,1,1,902,143,24895,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0,21.4,Combined6Math,BETHLEHEM CENTRAL MIDDLE SCHOOL,BETHLEHEM CSD,ALBANY,Low Need,"Capital District, New York"
80,250,95,14,1,89,5,1,1,902,143,24895,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0,21.4,Combined7Math,BETHLEHEM CENTRAL MIDDLE SCHOOL,BETHLEHEM CSD,ALBANY,Low Need,"Capital District, New York"
76,233,95,14,1,89,5,1,1,902,143,24895,52,48,2,0,2,7,4,81,5,12,16,0,0,0,0,21.4,Combined8Math,BETHLEHEM CENTRAL MIDDLE SCHOOL,BETHLEHEM CSD,ALBANY,Low Need,"Capital District, New York"
31,102,93,40,4,53,2,5,13,393,1980,27720,46,54,1,0,5,1,9,77,8,20,49,0,0,0,0,18.75,Combined6Math,RAVENA-COEYMANS-SELKIRK MID SCH,RAVENA-COEYMANS-SELKIRK CSD,ALBANY,Average Need,"Capital District, New York"
48,85,93,40,4,53,2,5,13,393,1980,27720,46,54,1,0,5,1,9,77,8,20,49,0,0,0,0,18.75,Combined8Math,RAVENA-COEYMANS-SELKIRK MID SCH,RAVENA-COEYMANS-SELKIRK CSD,ALBANY,Average Need,"Capital District, New York"
100,20,93,40,4,53,2,5,13,393,1980,27720,46,54,1,0,5,1,9,77,8,20,49,0,0,0,0,18.75,RegentsMath8,RAVENA-COEYMANS-SELKIRK MID SCH,RAVENA-COEYMANS-SELKIRK CSD,ALBANY,Average Need,"Capital District, New York"
64,96,93,40,4,53,2,5,13,393,1980,27720,46,54,1,0,5,1,9,77,8,20,49,0,0,0,0,18.75,Combined7Math,RAVENA-COEYMANS-SELKIRK MID SCH,RAVENA-COEYMANS-SELKIRK CSD,ALBANY,Average Need,"Capital District, New York"
36,153,88,66,2,47,3,1,24,467,3357,20926,56,44,3,0,11,1,15,62,10,20,71,0,4,0,0,20.5,Combined6Math,COHOES MIDDLE SCHOOL,COHOES CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
36,137,88,66,2,47,3,1,24,467,3357,20926,56,44,3,0,11,1,15,62,10,20,71,0,4,0,0,20.5,Combined7Math,COHOES MIDDLE SCHOOL,COHOES CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
33,135,88,66,2,47,3,1,24,467,3357,20926,56,44,3,0,11,1,15,62,10,20,71,0,4,0,0,20.5,Combined8Math,COHOES MIDDLE SCHOOL,COHOES CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
100,66,93,44,4,81,2,1,5,882,1122,23543,50,50,7,0,11,15,12,52,9,16,50,0,4,0,0,17,RegentsMath8,SAND CREEK MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
71,183,93,44,4,81,2,1,5,882,1122,23543,50,50,7,0,11,15,12,52,9,16,50,0,4,0,0,17,Combined8Math,SAND CREEK MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
60,169,93,44,4,81,2,1,5,882,1122,23543,50,50,7,0,11,15,12,52,9,16,50,0,4,0,0,17,Combined7Math,SAND CREEK MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
58,152,93,44,4,81,2,1,5,882,1122,23543,50,50,7,0,11,15,12,52,9,16,50,0,4,0,0,17,Combined6Math,SAND CREEK MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
100,43,94,36,4,57,2,1,3,646,989,24787,53,47,4,0,11,11,8,62,9,14,40,0,2,0,0,14.666666666666666,RegentsMath8,LISHA KILL MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
64,146,94,36,4,57,2,1,3,646,989,24787,53,47,4,0,11,11,8,62,9,14,40,0,2,0,0,14.666666666666666,Combined6Math,LISHA KILL MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
56,136,94,36,4,57,2,1,3,646,989,24787,53,47,4,0,11,11,8,62,9,14,40,0,2,0,0,14.666666666666666,Combined8Math,LISHA KILL MIDDLE SCHOOL,SOUTH COLONIE CSD,ALBANY,Average Need,"Capital District, New York"
65,23,95,34,5,30,1,2,4,257,2142,30300,48,52,11,0,38,28,5,26,2,14,43,1,4,1,1,12.857142857142858,Combined6Math,MENANDS SCHOOL,MENANDS UFSD,ALBANY,Average Need,"Capital District, New York"
73,30,95,34,5,30,1,2,4,257,2142,30300,48,52,11,0,38,28,5,26,2,14,43,1,4,1,1,12.857142857142858,Combined7Math,MENANDS SCHOOL,MENANDS UFSD,ALBANY,Average Need,"Capital District, New York"
100,5,94,25,3,132,6,1,5,1470,870,20323,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0,16.333333333333332,RegentsMath7,SHAKER MIDDLE SCHOOL,NORTH COLONIE CSD,ALBANY,Low Need,"Capital District, New York"
100,155,94,25,3,132,6,1,5,1470,870,20323,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0,16.333333333333332,RegentsMath8,SHAKER MIDDLE SCHOOL,NORTH COLONIE CSD,ALBANY,Low Need,"Capital District, New York"
64,460,94,25,3,132,6,1,5,1470,870,20323,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0,16.333333333333332,Combined6Math,SHAKER MIDDLE SCHOOL,NORTH COLONIE CSD,ALBANY,Low Need,"Capital District, New York"
68,444,94,25,3,132,6,1,5,1470,870,20323,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0,16.333333333333332,Combined7Math,SHAKER MIDDLE SCHOOL,NORTH COLONIE CSD,ALBANY,Low Need,"Capital District, New York"
77,448,94,25,3,132,6,1,5,1470,870,20323,48,52,5,0,8,24,7,55,6,12,31,0,2,0,0,16.333333333333332,Combined8Math,SHAKER MIDDLE SCHOOL,NORTH COLONIE CSD,ALBANY,Low Need,"Capital District, New York"
21,14,93,56,0,38,2,1,13,249,0,35759,53,47,9,0,14,4,8,59,15,20,62,0,2,0,0,14.714285714285714,RegentsMath8,HEATLY SCHOOL,GREEN ISLAND UFSD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
30,10,93,56,0,38,2,1,13,249,0,35759,53,47,9,0,14,4,8,59,15,20,62,0,2,0,0,14.714285714285714,Combined7Math,HEATLY SCHOOL,GREEN ISLAND UFSD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
6,18,93,56,0,38,2,1,13,249,0,35759,53,47,9,0,14,4,8,59,15,20,62,0,2,0,0,14.714285714285714,Combined6Math,HEATLY SCHOOL,GREEN ISLAND UFSD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
21,14,93,56,0,38,2,1,13,249,0,35759,53,47,9,0,14,4,8,59,15,20,62,0,2,0,0,14.714285714285714,Combined8Math,HEATLY SCHOOL,GREEN ISLAND UFSD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
75,328,94,23,1,120,2,3,3,1149,1052,23190,50,50,2,0,6,15,5,69,5,11,27,0,1,0,0,18.6,Combined8Math,FARNSWORTH MIDDLE SCHOOL,GUILDERLAND CSD,ALBANY,Low Need,"Capital District, New York"
100,101,94,23,1,120,2,3,3,1149,1052,23190,50,50,2,0,6,15,5,69,5,11,27,0,1,0,0,18.6,RegentsMath8,FARNSWORTH MIDDLE SCHOOL,GUILDERLAND CSD,ALBANY,Low Need,"Capital District, New York"
57,352,94,23,1,120,2,3,3,1149,1052,23190,50,50,2,0,6,15,5,69,5,11,27,0,1,0,0,18.6,Combined6Math,FARNSWORTH MIDDLE SCHOOL,GUILDERLAND CSD,ALBANY,Low Need,"Capital District, New York"
67,61,95,13,2,31,1,1,3,306,498,22061,49,51,0,0,0,3,3,86,7,13,15,0,0,0,0,22.25,Combined8Math,VOORHEESVILLE MIDDLE SCHOOL,VOORHEESVILLE CSD,ALBANY,Low Need,"Capital District, New York"
100,23,95,13,2,31,1,1,3,306,498,22061,49,51,0,0,0,3,3,86,7,13,15,0,0,0,0,22.25,RegentsMath8,VOORHEESVILLE MIDDLE SCHOOL,VOORHEESVILLE CSD,ALBANY,Low Need,"Capital District, New York"
69,83,95,13,2,31,1,1,3,306,498,22061,49,51,0,0,0,3,3,86,7,13,15,0,0,0,0,22.25,Combined7Math,VOORHEESVILLE MIDDLE SCHOOL,VOORHEESVILLE CSD,ALBANY,Low Need,"Capital District, New York"
66,89,95,13,2,31,1,1,3,306,498,22061,49,51,0,0,0,3,3,86,7,13,15,0,0,0,0,22.25,Combined6Math,VOORHEESVILLE MIDDLE SCHOOL,VOORHEESVILLE CSD,ALBANY,Low Need,"Capital District, New York"
23,124,89,68,2,63,4,2,11,730,3952,19768,55,45,8,0,22,9,18,39,12,18,71,1,3,0,0,19,Combined6Math,WATERVLIET JUNIOR-SENIOR HS,WATERVLIET CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
28,110,89,68,2,63,4,2,11,730,3952,19768,55,45,8,0,22,9,18,39,12,18,71,1,3,0,0,19,Combined7Math,WATERVLIET JUNIOR-SENIOR HS,WATERVLIET CITY SD,ALBANY,High-Need Urban/Suburban,"Capital District, New York"
